Біграма,Відносна частота (%)
нн,2.295
ня,2.089
на,1.952
ст,1.849
ан,1.610
ни,1.507
ва,1.507
ис,1.507
те,1.438
ем,1.438
ал,1.438
си,1.404
ви,1.370
ма,1.267
ен,1.267
ов,1.233
по,1.199
тр,1.027
но,1.027
ро,0.959
па,0.959
ун,0.925
ло,0.925
ор,0.890
ві,0.890
дв,0.856
ив,0.822
ск,0.822
од,0.788
ів,0.788
иг,0.753
гу,0.753
во,0.753
пр,0.753
ід,0.719
ий,0.685
та,0.685
ко,0.685
их,0.685
за,0.651
ол,0.651
ув,0.651
ус,0.616
ли,0.616
ер,0.616
ля,0.616
пу,0.582
ра,0.582
ле,0.582
вн,0.548
рі,0.548
мі,0.548
об,0.548
ос,0.548
он,0.548
ом,0.514
ре,0.514
то,0.514
ри,0.479
ль,0.479
же,0.479
лі,0.479
ін,0.479
го,0.445
ря,0.445
га,0.445
ку,0.445
лю,0.445
ох,0.445
іт,0.445
кт,0.411
хо,0.411
дж,0.411
ил,0.411
бе,0.411
ас,0.411
ої,0.411
ти,0.377
ну,0.377
ні,0.377
кр,0.377
ип,0.377
іл,0.377
ру,0.377
бл,0.377
ок,0.377
оп,0.377
ці,0.377
ьо,0.342
ян,0.342
ми,0.342
аз,0.342
кн,0.342
ци,0.342
пе,0.342
ач,0.342
че,0.342
ат,0.308
оз,0.308
из,0.308
юв,0.308
му,0.308
нд,0.308
ез,0.308
зн,0.308
іш,0.274
ог,0.274
ть,0.274
зп,0.274
ьн,0.274
вп,0.274
ап,0.274
дн,0.274
др,0.274
аб,0.274
бо,0.274
су,0.274
ум,0.274
зі,0.274
со,0.274
ел,0.274
ак,0.240
зм,0.240
дл,0.240
ка,0.240
ла,0.240
сн,0.240
да,0.240
дп,0.240
ац,0.240
ць,0.240
ек,0.240
ії,0.240
ад,0.240
ає,0.240
як,0.240
іс,0.205
ує,0.205
зи,0.205
ям,0.205
кі,0.205
ет,0.205
уп,0.205
ча,0.205
ші,0.205
ті,0.205
ся,0.205
ав,0.205
сл,0.205
шн,0.171
от,0.171
тн,0.171
ут,0.171
ме,0.171
із,0.171
ту,0.171
ді,0.171
ки,0.171
им,0.171
вк,0.171
ах,0.171
еч,0.171
чу,0.171
пі,0.171
кл,0.171
ин,0.171
до,0.171
кц,0.171
бу,0.171
бі,0.171
ди,0.171
нт,0.171
ей,0.171
аг,0.171
не,0.137
ит,0.137
ош,0.137
ащ,0.137
ке,0.137
ве,0.137
тв,0.137
юч,0.137
ук,0.137
рс,0.137
ду,0.137
вл,0.137
вт,0.137
мо,0.137
ьт,0.137
сп,0.137
ій,0.137
нз,0.137
ьс,0.137
де,0.137
ик,0.137
ул,0.137
чн,0.137
ир,0.103
нь,0.103
ех,0.103
ха,0.103
ши,0.103
пн,0.103
зк,0.103
єд,0.103
рт,0.103
оч,0.103
нс,0.103
ед,0.103
ес,0.103
дд,0.103
фі,0.103
ам,0.103
ай,0.103
йм,0.103
єт,0.103
це,0.103
ют,0.103
рн,0.103
щу,0.103
лу,0.103
уч,0.103
ім,0.103
фу,0.103
нк,0.103
ар,0.103
яц,0.103
яо,0.103
ич,0.103
рш,0.068
чо,0.068
зг,0.068
рп,0.068
ша,0.068
зо,0.068
ще,0.068
чи,0.068
шу,0.068
ює,0.068
зв,0.068
ух,0.068
ож,0.068
жн,0.068
чі,0.068
яв,0.068
ою,0.068
се,0.068
ба,0.068
зє,0.068
дб,0.068
нш,0.068
ше,0.068
зе,0.068
са,0.068
еж,0.068
оц,0.068
иж,0.068
іж,0.068
що,0.068
гр,0.068
аю,0.068
иц,0.068
ец,0.068
рк,0.068
ев,0.034
мк,0.034
бє,0.034
іб,0.034
бн,0.034
зт,0.034
аш,0.034
рю,0.034
нч,0.034
св,0.034
оє,0.034
єч,0.034
рг,0.034
дк,0.034
вв,0.034
ео,0.034
бх,0.034
хі,0.034
ьк,0.034
рм,0.034
зя,0.034
вс,0.034
тк,0.034
оя,0.034
яп,0.034
зб,0.034
іг,0.034
ищ,0.034
жи,0.034
ія,0.034
ву,0.034
яс,0.034
зд,0.034
йс,0.034
ню,0.034
яз,0.034
зр,0.034
яю,0.034
пи,0.034
ік,0.034
тя,0.034
ид,0.034
хи,0.034
їс,0.034
ір,0.034
іа,0.034
гі,0.034
зу,0.034
йо,0.034
ях,0.034
жа,0.034
іо,0.034
ур,0.034
рб,0.034
бц,0.034
чв,0.034
хл,0.034
їх,0.034
кс,0.034
йт,0.034
аж,0.034
жо,0.034
гл,0.034
уш,0.034
уб,0.034
би,0.034
иб,0.034
ьш,0.034
мп,0.034
оо,0.034
йн,0.034
еб,0.034
уу,0.034
мн,0.034
дс,0.034
ьм,0.034
ощ,0.034
