,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ю,я,
а,0,0.274,0.205,0.171,0,0.240,0,0.240,0.034,0.342,0,0,0,0.103,0.240,1.438,0.103,1.610,0,0.274,0.103,0.411,0.308,0,0,0.171,0.240,0.342,0.034,0.137,0,0.068,0,
б,0.068,0,0,0,0,0,0.411,0.034,0,0,0.034,0.171,0,0,0,0.377,0,0.034,0.274,0,0,0,0,0.171,0,0.034,0.034,0,0,0,0,0,0,
в,1.507,0,0.034,0,0,0,0.137,0,0,0,1.370,0.890,0,0,0.171,0.137,0,0.548,0.753,0.274,0,0.034,0.137,0.034,0,0,0,0,0,0,0,0,0,
г,0.445,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0.034,0,0,0.445,0,0.068,0,0,0.753,0,0,0,0,0,0,0,0,0,
ґ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
д,0.240,0.068,0.856,0,0,0.103,0.137,0,0.411,0,0.171,0.171,0,0,0.034,0.240,0,0.274,0.171,0.240,0.274,0.034,0,0.137,0,0,0,0,0,0,0,0,0,
е,0,0.034,0.034,0,0,0.103,0,0,0.068,0.308,0,0,0,0.171,0.240,0.274,1.438,1.267,0.034,0,0.616,0.103,0.205,0,0,0.103,0.068,0.171,0,0,0,0,0,
є,0,0,0,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0,0,0,0.034,0,0,0,0,0,
ж,0.034,0,0,0,0,0,0.479,0,0,0,0.034,0,0,0,0,0,0,0.068,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
з,0.651,0.034,0.068,0.068,0,0.034,0.068,0.068,0,0,0.205,0.274,0,0,0.103,0,0.240,0.308,0.068,0.274,0.034,0,0.034,0.034,0,0,0,0,0,0,0,0,0.034,
и,0,0.034,0.822,0.753,0,0.034,0,0,0.068,0.308,0,0,0,0.685,0.137,0.411,0.171,0.171,0,0.377,0.103,1.507,0.137,0,0,0.685,0.068,0.103,0,0.034,0,0,0,
і,0.034,0.034,0.788,0.034,0,0.719,0,0,0.068,0.171,0,0,0.240,0.137,0.034,0.377,0.103,0.479,0.034,0,0.034,0.205,0.445,0,0,0,0,0,0.274,0,0,0,0.034,
