Біграма,Відносна частота (%)
на,1.973
ст,1.860
ти,1.465
по,1.371
ом,1.315
ав,1.221
ві,1.146
го,1.146
ро,1.108
ко,1.052
ог,1.052
ан,1.033
ва,0.996
ов,0.977
ся,0.939
до,0.939
пр,0.921
ра,0.902
ри,0.864
ит,0.864
ка,0.845
те,0.808
ла,0.789
ін,0.770
то,0.770
ер,0.770
ни,0.751
за,0.751
йо,0.733
ло,0.714
но,0.714
сь,0.714
ал,0.714
од,0.695
та,0.695
ат,0.695
ку,0.695
не,0.676
ос,0.658
ні,0.658
ви,0.639
ин,0.639
ли,0.620
ив,0.601
им,0.601
па,0.582
ад,0.582
ма,0.582
ід,0.582
ми,0.564
ор,0.564
ис,0.564
ол,0.545
іс,0.545
во,0.545
ув,0.545
ді,0.526
ть,0.526
му,0.526
чи,0.526
ен,0.507
ий,0.507
ій,0.507
ар,0.507
ки,0.507
бу,0.507
еп,0.488
ве,0.488
рі,0.488
як,0.488
що,0.470
вс,0.470
ів,0.470
оп,0.451
ас,0.451
нн,0.451
ою,0.432
мі,0.432
ру,0.432
ус,0.432
тр,0.432
ди,0.413
ам,0.413
ьк,0.413
мо,0.395
ле,0.395
ту,0.395
об,0.395
зн,0.395
ре,0.395
да,0.395
ці,0.376
ля,0.376
ну,0.376
де,0.357
ак,0.357
ня,0.357
пе,0.338
ел,0.338
ча,0.338
се,0.319
ай,0.319
он,0.319
ає,0.301
сп,0.301
рн,0.301
са,0.301
ик,0.301
ті,0.301
оз,0.301
че,0.282
аз,0.282
ль,0.282
уд,0.282
кі,0.282
лі,0.282
оч,0.282
пи,0.282
нк,0.263
зо,0.263
ьс,0.263
ир,0.263
си,0.263
кр,0.263
от,0.263
нь,0.263
ок,0.263
ск,0.263
пі,0.263
хо,0.263
ме,0.244
ут,0.244
ши,0.244
ьо,0.244
же,0.244
іт,0.244
чі,0.244
іл,0.244
зу,0.244
св,0.225
ил,0.225
бо,0.225
сі,0.225
бі,0.207
йк,0.207
ев,0.207
жи,0.207
ах,0.207
ул,0.207
др,0.207
вч,0.207
ур,0.207
ір,0.207
із,0.188
ач,0.188
еб,0.188
ба,0.188
их,0.188
тв,0.188
ап,0.188
ям,0.169
ха,0.169
нс,0.169
ої,0.169
ік,0.169
со,0.169
ду,0.169
ум,0.169
це,0.169
ох,0.169
ім,0.169
