,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ю,я,
а,0,0.019,1.221,0.113,0,0.582,0,0.301,0.132,0.282,0,0,0.075,0.319,0.357,0.714,0.413,1.033,0.019,0.188,0.507,0.451,0.695,0.019,0,0.207,0.038,0.188,0.019,0,0,0.094,0,
б,0.188,0,0,0,0,0.019,0.132,0,0,0,0.150,0.207,0,0,0,0.075,0.019,0.019,0.225,0,0.150,0,0,0.507,0,0,0,0,0,0,0,0,0,
в,0.996,0,0.019,0.019,0,0.094,0.488,0,0.150,0.038,0.639,1.146,0,0,0.113,0.132,0.019,0.113,0.545,0.056,0.038,0.470,0.019,0.132,0.019,0,0.038,0.207,0.038,0,0,0,0.056,
г,0.150,0,0,0,0,0,0,0,0,0,0.113,0.019,0,0,0.019,0.113,0,0.094,1.146,0,0.075,0,0.038,0.056,0,0,0,0,0,0,0,0,0,
ґ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
д,0.395,0.019,0.075,0.019,0,0,0.357,0,0.056,0,0.413,0.526,0,0,0.094,0.075,0,0.132,0.939,0.019,0.207,0,0,0.169,0,0,0,0.150,0,0,0.056,0,0.113,
е,0,0.188,0.207,0.019,0,0.113,0,0,0.056,0.019,0,0,0.075,0.056,0.150,0.338,0.150,0.507,0,0.488,0.770,0.132,0.075,0,0.019,0.019,0.056,0.150,0.075,0,0,0.132,0,
є,0,0,0.019,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0.038,0,0,0,0,0.019,0.113,0,0,0,0,0,0,0,0,0.019,0,
ж,0.132,0.019,0,0,0,0.038,0.244,0,0,0,0.207,0.075,0,0,0.056,0,0,0.038,0,0,0,0.019,0,0.113,0,0,0,0,0,0,0,0,0,
з,0.751,0.075,0.132,0,0,0.056,0.019,0,0,0,0.056,0.038,0,0,0.019,0.038,0.075,0.395,0.263,0.038,0.113,0,0,0.244,0,0,0,0.056,0.019,0,0,0,0.019,
и,0,0.075,0.601,0.094,0,0.150,0,0.038,0.019,0.094,0,0,0.038,0.507,0.301,0.225,0.601,0.639,0,0.056,0.263,0.564,0.864,0,0.019,0.188,0.094,0.038,0.150,0,0,0,0.038,
і,0.019,0.094,0.470,0.038,0,0.582,0,0.056,0.056,0.188,0,0.019,0.056,0.507,0.169,0.244,0.169,0.770,0,0,0.207,0.545,0.244,0,0.019,0.038,0.019,0.150,0.169,0.019,0,0.056,0.075,
ї,0,0,0.075,0,0,0,0,0,0.019,0,0,0,0.132,0.019,0,0.038,0.038,0.056,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,
й,0,0.019,0,0,0,0,0,0,0.019,0,0,0,0,0,0.207,0.019,0.038,0.075,0.733,0,0,0.075,0.038,0,0,0,0,0,0.094,0,0,0,0,
к,0.845,0.019,0.094,0,0,0.019,0.075,0,0,0,0.507,0.282,0,0,0,0.038,0,0.056,1.052,0,0.263,0.075,0.094,0.695,0,0,0.019,0,0,0,0,0,0,
л,0.789,0,0,0,0,0,0.395,0,0,0,0.620,0.282,0,0,0.019,0,0,0,0.714,0,0,0,0,0.132,0,0,0,0,0,0,0.282,0.113,0.376,
м,0.582,0.019,0.019,0,0,0,0.244,0,0,0,0.564,0.432,0,0,0.038,0.056,0,0.094,0.395,0.038,0.038,0,0,0.526,0,0,0,0,0,0,0,0,0.038,
н,1.973,0,0,0,0,0,0.676,0,0,0,0.751,0.658,0,0,0.263,0,0,0.451,0.714,0,0,0.169,0.094,0.376,0,0,0.056,0.038,0.038,0.019,0.263,0.075,0.357,
о,0,0.395,0.977,1.052,0,0.695,0.019,0.056,0.075,0.301,0,0,0.169,0.056,0.263,0.545,1.315,0.319,0.019,0.451,0.564,0.658,0.263,0,0.038,0.169,0.019,0.282,0.075,0,0,0.432,0,
п,0.582,0,0,0,0,0,0.338,0,0,0,0.282,0.263,0,0,0.019,0.132,0,0.019,1.371,0,0.921,0,0.038,0.019,0,0,0.038,0,0,0,0,0,0,
р,0.902,0.019,0.019,0.019,0,0.038,0.395,0,0.019,0,0.864,0.488,0,0,0.094,0.019,0,0.301,1.108,0,0,0.113,0.132,0.432,0,0.019,0.132,0,0.075,0,0,0.038,0.056,
с,0.301,0,0.225,0,0,0,0.319,0,0,0,0.263,0.225,0,0,0.263,0.113,0.019,0.094,0.169,0.301,0,0,1.860,0.150,0,0.075,0.019,0,0,0,0.714,0,0.939,
т,0.695,0,0.188,0,0,0,0.808,0,0,0,1.465,0.301,0,0,0.150,0,0,0.038,0.770,0,0.432,0.019,0.075,0.395,0,0,0.019,0,0,0,0.526,0.038,0.113,
у,0,0.019,0.545,0.056,0,0.282,0,0.075,0.169,0,0,0,0.038,0,0.150,0.207,0.169,0.113,0,0.056,0.207,0.432,0.244,0,0,0.094,0,0.056,0.056,0,0,0,0.038,
ф,0.056,0,0,0,0,0,0.038,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,
х,0.169,0,0.019,0,0,0,0.019,0,0,0,0.038,0.019,0,0,0,0.113,0,0.038,0.263,0,0.019,0,0.019,0,0,0,0,0,0,0,0,0,0,
ц,0,0,0,0,0,0,0.169,0,0,0,0.019,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0.094,0.150,
ч,0.338,0,0,0,0,0,0.282,0,0,0,0.526,0.244,0,0,0,0,0,0.056,0.056,0,0,0,0,0.150,0,0,0,0,0,0,0,0,0,
ш,0.056,0,0.038,0,0,0,0.094,0,0,0,0.244,0.056,0,0,0.094,0.019,0,0.056,0.150,0,0,0,0.038,0.075,0,0,0,0,0,0,0,0,0,
щ,0.056,0,0,0,0,0,0.075,0,0,0,0.019,0,0,0,0,0,0,0,0.470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ь,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.413,0,0.075,0.075,0.244,0,0,0.263,0.019,0,0,0,0.056,0,0.038,0,0,0,0.019,
ю,0.019,0,0.056,0,0,0.056,0,0.019,0,0,0,0,0,0,0,0,0,0.075,0,0,0.019,0,0.056,0,0,0,0.019,0.075,0,0,0,0.019,0,
я,0,0,0.056,0.056,0,0.075,0,0.019,0,0.075,0,0,0,0,0.488,0.038,0.169,0.075,0,0,0.019,0.038,0.094,0,0,0.019,0,0.019,0,0,0,0.019,0,
