Біграма,Відносна частота (%)
лґ,2.564
дґ,2.184
уґ,1.909
ґт,1.656
мґ,1.519
іґ,1.477
ґф,1.466
ґє,1.445
ґч,1.414
ґц,1.350
тд,1.308
ґк,1.234
ґе,1.066
оґ,1.044
чл,0.960
гґ,0.939
чд,0.939
шґ,0.897
ґи,0.886
єґ,0.855
рл,0.823
пл,0.770
пд,0.749
ґґ,0.738
ьґ,0.728
ху,0.717
цч,0.707
жу,0.696
фу,0.686
дє,0.686
пу,0.665
ті,0.665
ує,0.633
єм,0.633
чу,0.633
єл,0.622
ґп,0.622
уж,0.612
цг,0.612
єд,0.580
иу,0.559
ґа,0.559
ґг,0.549
дч,0.549
сґ,0.527
гп,0.527
кд,0.517
бп,0.506
ау,0.506
бґ,0.506
ґс,0.496
ґу,0.496
іх,0.496
сл,0.485
лц,0.485
ґо,0.485
тл,0.475
єу,0.475
ґм,0.464
рд,0.464
уе,0.464
хд,0.464
ед,0.464
фх,0.464
дп,0.454
др,0.454
дс,0.454
дх,0.454
лт,0.443
чб,0.443
еш,0.443
тм,0.443
ид,0.433
ру,0.433
мє,0.422
ґя,0.422
хл,0.422
лє,0.422
ту,0.411
пґ,0.411
шр,0.411
ус,0.411
хі,0.401
іт,0.401
єц,0.401
цб,0.401
уи,0.401
рб,0.401
лч,0.401
ур,0.390
ґд,0.380
хм,0.380
ґх,0.369
ґж,0.369
мр,0.369
пм,0.359
ил,0.359
чм,0.359
чі,0.359
ух,0.348
ял,0.338
ґш,0.327
цл,0.327
ло,0.327
пш,0.316
ми,0.316
ґн,0.316
су,0.316
ль,0.316
кґ,0.295
ук,0.295
сд,0.285
вґ,0.285
дц,0.285
яд,0.274
уц,0.274
лс,0.274
фі,0.264
єі,0.264
цє,0.264
мч,0.264
ун,0.253
рг,0.253
дт,0.243
цм,0.243
нґ,0.243
нь,0.243
лр,0.243
до,0.243
хш,0.232
ел,0.232
шп,0.232
уя,0.232
уп,0.222
ґр,0.222
ех,0.222
йі,0.222
ґй,0.222
ди,0.211
ґь,0.211
ці,0.211
фм,0.200
иі,0.200
ьд,0.200
ут,0.200
фд,0.200
мт,0.200
кт,0.200
тш,0.200
юм,0.190
шє,0.190
уч,0.190
шц,0.190
сш,0.190
еу,0.190
иш,0.179
дь,0.179
ки,0.169
мо,0.169
чх,0.169
аі,0.169
пх,0.169
чш,0.169
рв,0.169
тґ,0.169
шч,0.169
рм,0.169
см,0.158
бе,0.158
лю,0.158
жд,0.158
яу,0.158
цш,0.158
іи,0.148
тг,0.148
цр,0.148
сі,0.148
бц,0.148
жр,0.148
дя,0.148
яі,0.148
лп,0.137
им,0.137
рі,0.137
ем,0.137
ит,0.137
тб,0.137
фл,0.137
рш,0.137
ір,0.137
ля,0.127
іс,0.127
ьу,0.127
иґ,0.127
дф,0.127
іч,0.127
яп,0.127
еґ,0.127
іф,0.127
кє,0.127
де,0.127
шх,0.116
ґю,0.116
ши,0.116
дк,0.116
еі,0.116
дв,0.116
іц,0.116
мп,0.116
уй,0.116
ер,0.105
ли,0.105
тт,0.105
тп,0.105
юі,0.105
гч,0.105
кш,0.105
иє,0.105
да,0.105
рп,0.095
уф,0.095
оу,0.095
шс,0.095
фш,0.095
шф,0.095
йґ,0.095
мк,0.095
жш,0.095
дй,0.095
мц,0.095
чґ,0.095
єт,0.095
мя,0.095
цґ,0.084
уь,0.084
юг,0.084
єр,0.084
юб,0.084
яґ,0.084
ку,0.084
їґ,0.084
мг,0.074
цт,0.074
яш,0.074
шь,0.074
вя,0.074
йл,0.074
дю,0.074
дї,0.074
цф,0.074
цп,0.074
чг,0.074
нс,0.074
йд,0.074
гь,0.074
ле,0.074
ьл,0.074
цд,0.063
их,0.063
гс,0.063
хґ,0.063
кр,0.063
іо,0.063
хч,0.063
хп,0.063
цс,0.063
но,0.063
юв,0.063
ст,0.063
ув,0.063
жх,0.063
ік,0.063
іе,0.063
ьч,0.063
ґї,0.053
єж,0.053
іп,0.053
пр,0.053
єч,0.053
хт,0.053
лн,0.053
кл,0.053
ше,0.053
кф,0.053
дш,0.053
гт,0.053
ьт,0.053
ям,0.053
оч,0.053
чп,0.053
шк,0.053
єп,0.053
мс,0.053
лж,0.053
їс,0.053
єш,0.053
шт,0.053
пт,0.053
лй,0.053
пі,0.053
бу,0.053
ти,0.053
дж,0.053
чр,0.053
хє,0.053
лх,0.053
бс,0.053
дн,0.053
ія,0.053
мь,0.053
хц,0.042
ьш,0.042
мн,0.042
ую,0.042
уо,0.042
от,0.042
еп,0.042
тя,0.042
мй,0.042
йт,0.042
чє,0.042
кі,0.042
ср,0.042
іь,0.042
фр,0.042
ое,0.042
ир,0.042
єх,0.042
єй,0.042
шя,0.042
кх,0.042
уа,0.042
ме,0.042
ип,0.042
нт,0.042
ію,0.042
гє,0.042
тц,0.042
мв,0.032
оц,0.032
бт,0.032
хг,0.032
иг,0.032
бч,0.032
єя,0.032
