,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ю,я,
а,0,0,0,0,0,0.021,0,0,0,0,0,0.169,0,0,0,0,0.032,0,0,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0,
б,0,0,0,0,0.506,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0,0.053,0.032,0.053,0,0,0.148,0.032,0,0,0,0.011,0,
в,0,0,0.011,0,0.285,0,0.021,0.032,0,0,0.021,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.032,0.021,0.011,0,0.011,0,0.074,
г,0,0,0.011,0,0.939,0,0,0.042,0.011,0,0.021,0,0,0.011,0.011,0,0,0,0.021,0.527,0.032,0.063,0.053,0,0,0.021,0.011,0.105,0,0,0.074,0.011,0.032,
ґ,0.559,0,0,0.549,0.738,0.380,1.066,1.445,0.369,0,0.886,0.011,0.053,0.222,1.234,0,0.464,0.316,0.485,0.622,0.222,0.496,1.656,0.496,1.466,0.369,1.350,1.414,0.327,0.011,0.211,0.116,0.422,
д,0.105,0,0.116,0.021,2.184,0,0.127,0.686,0.053,0,0.211,0,0.074,0.095,0.116,0,0,0.053,0.243,0.454,0.454,0.454,0.243,0,0.127,0.454,0.285,0.549,0.053,0,0.179,0.074,0.148,
е,0,0,0,0,0.127,0.464,0,0.011,0,0,0,0.116,0.011,0,0.011,0.232,0.137,0,0,0.042,0.105,0,0.021,0.190,0,0.222,0.011,0,0.443,0,0.011,0,0,
є,0,0,0,0.011,0.855,0.580,0.021,0,0.053,0,0.021,0.264,0,0.042,0.011,0.622,0.633,0,0,0.053,0.084,0,0.095,0.475,0.032,0.042,0.401,0.053,0.053,0,0,0.011,0.032,
ж,0,0,0,0,0.011,0.158,0,0,0,0,0,0.021,0,0,0,0.011,0.032,0,0,0,0.148,0,0.011,0.696,0,0.063,0,0,0.095,0,0,0,0,
з,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
и,0,0.021,0,0.032,0.127,0.433,0,0.105,0,0,0,0.200,0,0.011,0.011,0.359,0.137,0,0,0.042,0.042,0.011,0.137,0.559,0.021,0.063,0.032,0,0.179,0,0,0.021,0.011,
і,0,0,0,0,1.477,0,0.063,0.032,0,0,0.148,0.011,0,0.011,0.063,0,0,0.011,0.063,0.053,0.137,0.127,0.401,0.011,0.127,0.496,0.116,0.127,0,0,0.042,0.042,0.053,
ї,0,0,0,0,0.084,0,0,0.021,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0.053,0,0,0,0,0,0.021,0,0,0,0,0,
й,0,0,0,0.021,0.095,0.074,0,0,0,0,0.021,0.222,0,0.021,0,0.074,0.011,0,0,0.032,0,0,0.042,0.032,0,0,0,0,0.032,0,0,0,0,
к,0,0.021,0,0.032,0.295,0.517,0.011,0.127,0.032,0,0.169,0.042,0,0,0.011,0.053,0.032,0.011,0,0.011,0.063,0.032,0.200,0.084,0.053,0.042,0.011,0,0.105,0,0,0.011,0,
л,0.011,0,0,0.011,2.564,0,0.074,0.422,0.053,0,0.105,0,0,0.053,0.021,0,0,0.053,0.327,0.137,0.243,0.274,0.443,0,0.021,0.053,0.485,0.401,0,0,0.316,0.158,0.127,
м,0.011,0,0.032,0.074,1.519,0,0.042,0.422,0.021,0,0.316,0,0.021,0.042,0.095,0,0.011,0.042,0.169,0.116,0.369,0.053,0.200,0,0.021,0.021,0.095,0.264,0,0,0.053,0,0.095,
н,0,0,0,0,0.243,0,0,0.011,0,0,0.032,0,0,0,0.032,0,0,0.011,0.063,0,0,0.074,0.042,0,0,0,0.011,0,0,0,0.243,0,0,
о,0,0,0,0,1.044,0,0.042,0,0,0,0.021,0,0,0.011,0,0,0,0,0,0.021,0,0.021,0.042,0.095,0.011,0.021,0.032,0.053,0,0,0,0.011,0,
п,0,0,0,0,0.411,0.749,0,0.021,0,0,0,0.053,0,0,0,0.770,0.359,0,0,0,0.053,0,0.053,0.665,0.011,0.169,0,0.021,0.316,0,0,0.021,0.021,
р,0,0.401,0.169,0.253,0.021,0.464,0,0,0,0,0,0.137,0,0,0,0.823,0.169,0,0,0.095,0,0,0,0.433,0,0,0,0.011,0.137,0,0,0,0,
с,0,0,0,0.011,0.527,0.285,0,0,0,0,0,0.148,0,0,0,0.485,0.158,0,0,0.011,0.042,0,0.063,0.316,0.011,0,0.032,0.011,0.190,0,0,0,0,
т,0,0.137,0.011,0.148,0.169,1.308,0,0,0.011,0,0.053,0.665,0.011,0,0,0.475,0.443,0,0,0.105,0,0,0.105,0.411,0,0,0.042,0.011,0.200,0,0,0.011,0.042,
у,0.042,0,0.063,0.032,1.909,0.011,0.464,0.633,0.612,0,0.401,0,0.011,0.116,0.295,0,0,0.253,0.042,0.222,0.390,0.411,0.200,0,0.095,0.348,0.274,0.190,0,0.011,0.084,0.042,0.232,
ф,0,0,0,0,0.021,0.200,0,0,0,0,0,0.264,0.011,0,0,0.137,0.200,0,0,0,0.042,0,0.011,0.686,0,0.464,0.011,0.011,0.095,0,0,0.021,0,
х,0,0.011,0,0.032,0.063,0.464,0,0.053,0.011,0,0.011,0.401,0,0.021,0,0.422,0.380,0,0,0.063,0.011,0.011,0.053,0.717,0,0,0.042,0.063,0.232,0,0.021,0,0,
ц,0,0.401,0.021,0.612,0.084,0.063,0,0.264,0,0,0,0.211,0,0,0,0.327,0.243,0,0,0.074,0.148,0.063,0.074,0.032,0.074,0.021,0,0.707,0.158,0,0.011,0.021,0,
ч,0,0.443,0,0.074,0.095,0.939,0,0.042,0,0,0,0.359,0,0,0,0.960,0.359,0,0,0.053,0.053,0,0,0.633,0,0.169,0,0.032,0.169,0,0,0,0,
ш,0,0,0.032,0.011,0.897,0,0.053,0.190,0.021,0,0.116,0,0.021,0.021,0.053,0,0,0,0.011,0.232,0.411,0.095,0.053,0,0.095,0.116,0.190,0.169,0,0,0.074,0,0.042,
щ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ь,0,0,0,0,0.728,0.200,0.011,0,0,0,0,0.011,0,0,0,0.074,0.021,0,0,0,0.011,0,0.053,0.127,0,0,0,0.063,0.042,0,0,0,0,
ю,0,0.084,0.063,0.084,0,0.021,0,0,0,0,0,0.105,0,0,0,0.011,0.190,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0,0,0,0,
я,0,0,0,0.021,0.084,0.274,0,0,0,0,0,0.148,0,0,0,0.338,0.053,0,0,0.127,0.011,0,0.032,0.158,0,0,0,0,0.074,0,0.011,0,0.021,
