Біграма,Відносна частота (%)
зя,2.532
яу,2.215
бя,1.899
аю,1.899
яа,1.899
ія,1.899
яе,1.582
ює,1.582
яв,1.582
уь,1.582
їщ,1.266
щя,1.266
ез,1.266
об,1.266
зу,1.266
ющ,1.266
яф,1.266
фз,1.266
зр,1.266
рз,1.266
лз,1.266
пі,0.949
жю,0.949
єа,0.949
аб,0.949
лі,0.949
іо,0.949
ья,0.949
еі,0.949
їб,0.949
яи,0.949
из,0.949
щл,0.949
щу,0.949
яї,0.949
щж,0.633
вя,0.633
ял,0.633
іх,0.633
хь,0.633
ьа,0.633
юз,0.633
зх,0.633
хі,0.633
яш,0.633
шя,0.633
бю,0.633
сз,0.633
зл,0.633
вщ,0.633
ще,0.633
іу,0.633
уї,0.633
бж,0.633
жя,0.633
ях,0.633
хщ,0.633
щш,0.633
ша,0.633
яю,0.633
гщ,0.633
щї,0.633
оз,0.633
зв,0.633
вц,0.633
цщ,0.633
уо,0.633
єя,0.633
зч,0.633
чя,0.633
ьк,0.633
їі,0.633
ьс,0.633
сщ,0.633
як,0.633
іг,0.633
ап,0.316
ії,0.316
зм,0.316
зб,0.316
бу,0.316
ау,0.316
уб,0.316
юс,0.316
уз,0.316
лш,0.316
яз,0.316
зк,0.316
кб,0.316
бв,0.316
вь,0.316
ьї,0.316
їя,0.316
щс,0.316
сі,0.316
уц,0.316
цг,0.316
її,0.316
яг,0.316
щв,0.316
вз,0.316
ля,0.316
уі,0.316
іа,0.316
аі,0.316
зи,0.316
ищ,0.316
ьм,0.316
мї,0.316
їз,0.316
юш,0.316
шр,0.316
ящ,0.316
що,0.316
оі,0.316
юя,0.316
кл,0.316
бґ,0.316
ґм,0.316
яп,0.316
оь,0.316
сш,0.316
шж,0.316
кя,0.316
яд,0.316
дш,0.316
шг,0.316
гц,0.316
яб,0.316
бс,0.316
аш,0.316
ше,0.316
еш,0.316
шю,0.316
юї,0.316
іґ,0.316
ґя,0.316
кз,0.316
ащ,0.316
ал,0.316
гю,0.316
юь,0.316
кш,0.316
шт,0.316
тя,0.316
лщ,0.316
щр,0.316
рщ,0.316
гі,0.316
іс,0.316
зї,0.316
щю,0.316
ям,0.316
мз,0.316
зо,0.316
вл,0.316
зд,0.316
ді,0.316
їш,0.316
шк,0.316
кє,0.316
єр,0.316
яь,0.316
шл,0.316
уш,0.316
