,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ю,я,
а,0,0.949,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0.316,0,0,0,0.316,0,0,0,0.316,0,0,0,0,0.316,0.316,0,1.899,0,
б,0,0,0.316,0,0.316,0,0,0,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0.316,0,0,0,0,0,0,0,0.633,1.899,
в,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0.633,0,0,0.633,0.316,0,0.633,
г,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0.633,0,0.316,0,
ґ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,
д,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,
е,0,0,0,0,0,0,0,0,0,1.266,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,
є,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0.633,
ж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0.633,
з,0,0.316,0.633,0,0,0.316,0,0,0,0,0.316,0,0.316,0,0.316,0.633,0.316,0,0.316,0,1.266,0,0,1.266,0,0.633,0,0.633,0,0,0,0,2.532,
и,0,0,0,0,0,0,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,
і,0.316,0,0,0.633,0.316,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0.949,0,0,0.316,0,0.633,0,0.633,0,0,0,0,0,0,1.899,
ї,0,0.949,0,0,0,0,0,0,0,0.316,0,0.633,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,1.266,0,0,0.316,
й,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
к,0,0.316,0,0,0,0,0,0.316,0,0.316,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0.316,
л,0,0,0,0,0,0,0,0,0,1.266,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.316,0,0,0.316,
м,0,0,0,0,0,0,0,0,0,0.316,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
н,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
о,0,1.266,0,0,0,0,0,0,0,0.633,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,
п,0,0,0,0,0,0,0,0,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
р,0,0,0,0,0,0,0,0,0,1.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,
с,0,0,0,0,0,0,0,0,0,0.633,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.633,0,0,0,
т,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,
у,0,0.316,0,0,0,0,0,0,0,0.316,0,0.316,0.633,0,0,0,0,0,0.633,0,0,0,0,0,0,0,0.316,0,0.316,0,1.582,0,0,
ф,0,0,0,0,0,0,0,0,0,1.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
х,0,0,0,0,0,0,0,0,0,0,0,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0.633,0,0,
ц,0,0,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0,0,0,
ч,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,
ш,0.633,0,0,0.316,0,0,0.316,0,0.316,0,0,0,0,0,0.316,0.316,0,0,0,0,0.316,0,0.316,0,0,0,0,0,0,0,0,0.316,0.633,
щ,0,0,0.316,0,0,0,0.633,0,0.633,0,0,0,0.633,0,0,0.949,0,0,0.316,0,0.316,0.316,0,0.949,0,0,0,0,0.633,0,0,0.316,1.266,
ь,0.633,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0.633,0,0.316,0,0,0,0,0.633,0,0,0,0,0,0,0,0,0,0,0.949,
ю,0,0,0,0,0,0,0,1.582,0,0.633,0,0,0.316,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0.316,1.266,0.316,0,0.316,
я,1.899,0.316,1.582,0.316,0,0.316,1.582,0,0,0.316,0.949,0,0.949,0,0.633,0.633,0.316,0,0,0.316,0,0,0,2.215,1.266,0.633,0,0,0.633,0.316,0.316,0.633,0,
