Триграма,Відносна частота (%)
ння,2.3847
ист,1.6296
сис,1.5501
сте,1.5501
тем,1.5501
анн,1.3116
ван,1.2719
пал,1.0731
енн,0.9539
ема,0.9141
дви,0.8744
виг,0.8744
игу,0.8744
гун,0.8744
ува,0.7552
лив,0.7154
ний,0.6757
пус,0.6757
али,0.6757
уск,0.5962
уна,0.5962
них,0.5962
оло,0.5564
жен,0.5564
від,0.5564
охо,0.4769
хол,0.4769
лод,0.4769
одж,0.4769
дже,0.4769
пов,0.4769
ові,0.4769
віт,0.4769
ітр,0.4769
лін,0.4372
тря,0.4372
ної,0.4372
скн,0.3975
ивн,0.3975
иво,0.3577
газ,0.3577
люв,0.3577
юва,0.3577
пра,0.3577
ого,0.3180
іль,0.3180
зап,0.3180
апа,0.3180
вип,0.3180
ипу,0.3180
бло,0.3180
лок,0.3180
цил,0.3180
илі,0.3180
інд,0.3180
ндр,0.3180
рів,0.3180
ере,0.3180
ова,0.3180
чен,0.3180
кон,0.3180
але,0.3180
пор,0.2782
рян,0.2782
льн,0.2782
впу,0.2782
алю,0.2782
при,0.2782
для,0.2782
тал,0.2782
без,0.2782
ідп,0.2782
дпр,0.2782
рац,0.2782
аць,0.2782
цьо,0.2782
ьов,0.2782
ани,0.2782
азі,0.2782
зів,0.2782
лек,0.2782
ект,0.2782
ску,0.2782
оро,0.2385
роз,0.2385
под,0.2385
ьни,0.2385
опо,0.2385
заб,0.2385
езп,0.2385
сум,0.2385
умі,0.2385
міш,0.2385
іші,0.2385
ції,0.2385
про,0.2385
тро,0.2385
вно,0.2385
нов,0.2385
еле,0.2385
мас,0.2385
так,0.1987
ані,0.1987
нни,0.1987
емі,0.1987
пер,0.1987
вор,0.1987
абе,0.1987
зпе,0.1987
печ,0.1987
воп,0.1987
тор,0.1987
риз,0.1987
изн,0.1987
зна,0.1987
нач,0.1987
аче,0.1987
ена,0.1987
кці,0.1987
нан,0.1987
том,0.1987
вни,0.1987
роб,0.1987
обо,0.1987
ктр,0.1987
асл,0.1987
кор,0.1590
зма,0.1590
мащ,0.1590
ему,0.1590
кер,0.1590
еру,0.1590
рув,0.1590
ном,0.1590
дрі,0.1590
яни,0.1590
тво,0.1590
пос,0.1590
ост,0.1590
ечу,0.1590
чує,0.1590
ода,0.1590
дач,0.1590
яно,0.1590
під,0.1590
клю,0.1590
люч,0.1590
кна,0.1590
стр,0.1590
тру,0.1590
еми,0.1590
орс,0.1590
рск,0.1590
кув,0.1590
дна,0.1590
ров,0.1590
лен,0.1590
авт,0.1590
вто,0.1590
біл,0.1590
льт,0.1590
овн,0.1590
осн,0.1590
сно,0.1590
нзи,0.1590
тьс,0.1590
ься,0.1590
тра,0.1590
рон,0.1590
онн,0.1590
дет,0.1590
ета,0.1590
акт,0.1192
ктн,0.1192
вну,0.1192
ньо,0.1192
ьог,0.1192
сти,0.1192
мех,0.1192
еха,0.1192
хан,0.1192
ніз,0.1192
ізм,0.1192
кри,0.1192
зпо,0.1192
оді,0.1192
єдн,0.1192
ому,0.1192
нів,0.1192
ним,0.1192
ням,0.1192
лов,0.1192
аль,0.1192
кол,0.1192
час,0.1192
сто,0.1192
кно,0.1192
кан,0.1192
тер,0.1192
ком,0.1192
онс,0.1192
нст,0.1192
рук,0.1192
соб,0.1192
обл,0.1192
ред,0.1192
ива,0.1192
лад,0.1192
опр,0.1192
ово,0.1192
вод,0.1192
омо,0.1192
моб,0.1192
обі,0.1192
іля,0.1192
вкл,0.1192
юча,0.1192
чає,0.1192
нас,0.1192
філ,0.1192
ьтр,0.1192
упо,0.1192
бот,0.1192
бен,0.1192
енз,0.1192
зин,0.1192
ови,0.1192
нах,0.1192
