Триграма,Відносна частота (%)
ого,1.1823
сте,0.6857
він,0.5675
ати,0.5675
теп,0.5439
при,0.5439
епа,0.5202
пан,0.5202
ому,0.5202
йог,0.4966
ува,0.4966
від,0.4729
про,0.4729
іст,0.4493
вся,0.4493
ськ,0.4256
зна,0.4256
ння,0.4256
ста,0.4020
йом,0.4020
анн,0.3547
міс,0.3310
ити,0.3310
ось,0.3310
тьс,0.3074
ься,0.3074
пер,0.3074
чин,0.3074
рад,0.2838
оло,0.2838
трі,0.2838
тер,0.2838
ала,0.2838
уст,0.2838
стр,0.2838
чен,0.2601
над,0.2601
аді,0.2601
кою,0.2601
сто,0.2601
ова,0.2601
ить,0.2601
ере,0.2601
поч,0.2601
лас,0.2601
оди,0.2365
ійк,0.2365
ели,0.2365
кол,0.2365
оли,0.2365
ньо,0.2365
ьог,0.2365
нав,0.2365
опо,0.2365
вар,0.2365
пис,0.2365
ько,0.2365
ним,0.2365
роз,0.2365
ина,0.2365
зус,0.2365
зос,0.2365
дій,0.2128
том,0.2128
сти,0.2128
зав,0.2128
ват,0.2128
оми,0.2128
спо,0.2128
тис,0.2128
ися,0.2128
дру,0.2128
ови,0.2128
лос,0.2128
вчи,0.2128
нко,0.1892
уде,0.1892
сво,0.1892
буд,0.1892
най,0.1892
ила,0.1892
оро,0.1892
ами,0.1892
вон,0.1892
пок,0.1892
лик,0.1892
бул,0.1892
але,0.1892
пом,0.1892
вав,0.1892
вел,0.1892
иса,0.1892
пов,0.1892
мов,0.1892
адч,0.1655
дче,0.1655
енк,0.1655
ний,0.1655
сел,0.1655
ком,0.1655
аро,0.1655
тат,0.1655
кра,0.1655
под,0.1655
айо,0.1655
ало,0.1655
іда,0.1655
ові,0.1655
авс,0.1655
ино,0.1655
урн,0.1655
веч,0.1655
ечі,0.1655
чір,0.1655
дом,0.1655
ись,0.1655
ким,0.1655
дан,0.1655
рит,0.1655
каз,0.1655
аза,0.1655
шов,0.1655
мол,0.1419
лод,0.1419
лоп,0.1419
евк,0.1419
єть,0.1419
був,0.1419
роб,0.1419
ров,0.1419
яка,0.1419
ивс,0.1419
одо,0.1419
оча,0.1419
атк,0.1419
рні,0.1419
май,0.1419
ерн,0.1419
пор,0.1419
дав,0.1419
дов,0.1419
мит,0.1419
гор,0.1419
ари,0.1419
рти,0.1419
кав,0.1419
оті,0.1419
она,0.1419
нею,0.1419
руж,0.1419
нов,0.1419
рис,0.1419
нув,0.1419
енн,0.1419
чит,0.1419
ими,0.1419
очи,0.1419
ини,0.1419
ори,0.1419
дів,0.1419
івч,0.1419
ска,0.1419
ост,0.1419
хло,0.1182
одн,0.1182
лев,0.1182
тає,0.1182
сту,0.1182
ден,0.1182
інс,0.1182
иту,0.1182
шив,0.1182
ван,0.1182
нсь,0.1182
дин,0.1182
кій,0.1182
лив,0.1182
нку,0.1182
ама,0.1182
нід,0.1182
ідо,0.1182
ька,0.1182
чат,0.1182
ній,0.1182
ася,0.1182
тре,0.1182
реб,0.1182
еба,0.1182
аль,0.1182
дум,0.1182
ани,0.1182
уло,0.1182
оді,0.1182
сим,0.1182
вий,0.1182
вже,0.1182
ква,0.1182
арт,0.1182
тир,0.1182
ирі,0.1182
літ,0.1182
іте,0.1182
ера,0.1182
рат,0.1182
ату,0.1182
тур,0.1182
пра,0.1182
рав,0.1182
ана,0.1182
мен,0.1182
тор,0.1182
бри,0.1182
жит,0.1182
іль,0.1182
ірц,0.1182
рці,0.1182
аст,0.1182
вля,0.1182
ізн,0.1182
річ,0.1182
ове,0.1182
вер,0.1182
ійн,0.0946
раз,0.0946
осе,0.0946
ель,0.0946
ями,0.0946
вко,0.0946
роп,0.0946
опл,0.0946
пла,0.0946
ент,0.0946
нст,0.0946
тит,0.0946
тут,0.0946
вир,0.0946
пот,0.0946
сві,0.0946
кро,0.0946
юна,0.0946
нак,0.0946
гні,0.0946
дог,0.0946
тку,0.0946
айс,0.0946
йст,0.0946
шка,0.0946
рив,0.0946
соб,0.0946
рий,0.0946
льн,0.0946
кан,0.0946
рох,0.0946
слу,0.0946
ред,0.0946
аві,0.0946
йки,0.0946
ною,0.0946
там,0.0946
ном,0.0946
мак,0.0946
акс,0.0946
кси,0.0946
сер,0.0946
піш,0.0946
тав,0.0946
пог,0.0946
вал,0.0946
ося,0.0946
оха,0.0946
хан,0.0946
ням,0.0946
доп,0.0946
для,0.0946
так,0.0946
важ,0.0946
яко,0.0946
ась,0.0946
тов,0.0946
тво,0.0946
ків,0.0946
всі,0.0946
рну,0.0946
рку,0.0946
жен,0.0946
ита,0.0946
орі,0.0946
рів,0.0946
ник,0.0946
дит,0.0946
іши,0.0946
нап,0.0946
апи,0.0946
омо,0.0946
ені,0.0946
кої,0.0946
бор,0.0946
род,0.0946
віт,0.0946
бач,0.0946
акт,0.0946
сть,0.0946
хот,0.0946
яти,0.0946
ючи,0.0946
себ,0.0946
ебе,0.0946
вин,0.0946
рос,0.0946
оси,0.0946
ход,0.0946
мус,0.0946
усі,0.0946
ира,0.0946
вит,0.0946
ьки,0.0946
ерш,0.0946
обі,0.0946
йшо,0.0946
час,0.0946
поз,0.0946
кам,0.0946
одр,0.0946
йку,0.0946
ути,0.0946
зал,0.0946
ину,0.0946
дий,0.0709
йни,0.0709
опе,0.0709
пец,0.0709
ець,0.0709
дно,0.0709
льц,0.0709
діс,0.0709
аєт,0.0709
пар,0.0709
лав,0.0709
аво,0.0709
туд,0.0709
нто,0.0709
иру,0.0709
юва,0.0709
зро,0.0709
оби,0.0709
вої,0.0709
укр,0.0709
раї,0.0709
аїн,0.0709
їнс,0.0709
отр,0.0709
виг,0.0709
ціє,0.0709
дол,0.0709
аче,0.0709
мог,0.0709
олі,0.0709
уди,0.0709
инк,0.0709
мар,0.0709
лиш,0.0709
ише,0.0709
сал,0.0709
лом,0.0709
ідв,0.0709
омі,0.0709
меш,0.0709
ешк,0.0709
ума,0.0709
має,0.0709
гро,0.0709
маг,0.0709
ага,0.0709
яку,0.0709
чек,0.0709
ека,0.0709
уги,0.0709
вол,0.0709
тім,0.0709
оба,0.0709
тод,0.0709
ужи,0.0709
жин,0.0709
лів,0.0709
вно,0.0709
мом,0.0709
ачу,0.0709
окі,0.0709
мав,0.0709
усь,0.0709
ибо,0.0709
ома,0.0709
ажк,0.0709
нік,0.0709
зап,0.0709
апр,0.0709
ону,0.0709
іти,0.0709
сім,0.0709
спр,0.0709
ави,0.0709
вор,0.0709
сьм,0.0709
ьме,0.0709
нни,0.0709
ито,0.0709
ріш,0.0709
итв,0.0709
ига,0.0709
гад,0.0709
ада,0.0709
итт,0.0709
ття,0.0709
огл,0.0709
ког,0.0709
воє,0.0709
під,0.0709
ром,0.0709
вій,0.0709
