Триграма,Відносна частота (%)
ґтд,0.8724
тдґ,0.6171
ґфу,0.5958
цгґ,0.5533
ґті,0.5533
рлґ,0.5107
члґ,0.5107
ґчд,0.5001
плґ,0.4894
ужу,0.4681
жуґ,0.4469
ґау,0.4469
тіґ,0.4469
ґгп,0.4256
ґоґ,0.4256
ґфх,0.4256
ґиу,0.4256
ґмґ,0.3937
слґ,0.3830
ауґ,0.3724
ґеш,0.3724
ґкд,0.3511
ґчу,0.3192
чдґ,0.3085
ґпу,0.3085
пдґ,0.3085
лоґ,0.2979
чуґ,0.2979
ґцч,0.2979
мєґ,0.2873
дчл,0.2873
ґдґ,0.2766
ґєм,0.2766
лґт,0.2660
ешр,0.2660
льґ,0.2660
ґцл,0.2553
ґцє,0.2553
ґед,0.2553
лґє,0.2447
цчд,0.2341
ґкґ,0.2234
цлт,0.2234
дґє,0.2234
дсл,0.2234
цбґ,0.2234
рдґ,0.2234
дґт,0.2128
фіх,0.2128
туґ,0.2128
мґє,0.2128
фху,0.2128
дґч,0.2021
дґф,0.2021
пшґ,0.2021
іґк,0.2021
чдп,0.2021
фхл,0.2021
тмґ,0.2021
гпґ,0.2021
уґт,0.2021
лчл,0.2021
уґє,0.1915
ґчл,0.1915
лґч,0.1915
ґєц,0.1915
ґєґ,0.1915
лцг,0.1915
дрл,0.1915
дєґ,0.1915
ємч,0.1915
чбґ,0.1915
ґжу,0.1915
іхі,0.1809
ґєл,0.1809
ґєд,0.1809
йіґ,0.1809
чіґ,0.1809
руґ,0.1809
лґе,0.1809
члц,0.1809
идє,0.1809
пур,0.1702
уґк,0.1702
уґц,0.1702
пмґ,0.1702
едґ,0.1702
уху,0.1702
ялґ,0.1702
сшґ,0.1702
ґсу,0.1702
ґсд,0.1596
бпл,0.1596
ґху,0.1596
лцб,0.1596
лґк,0.1596
чдх,0.1596
рбе,0.1596
усш,0.1596
цчу,0.1596
дґц,0.1596
мрб,0.1596
лґф,0.1596
дсґ,0.1596
уєл,0.1490
цбп,0.1490
ґел,0.1490
єґц,0.1490
шрб,0.1490
ньґ,0.1490
лрл,0.1490
лґи,0.1490
дґк,0.1490
илє,0.1490
аіґ,0.1490
ктд,0.1490
чмґ,0.1490
уил,0.1490
ґял,0.1490
уех,0.1490
унґ,0.1490
єцг,0.1490
мґф,0.1383
урл,0.1383
дпґ,0.1383
бед,0.1383
ґнь,0.1383
іґе,0.1383
ґєу,0.1383
єут,0.1383
чбц,0.1383
бцг,0.1383
оґц,0.1383
доґ,0.1383
дьґ,0.1383
бпд,0.1383
уґч,0.1383
уру,0.1383
чмр,0.1383
ґфі,0.1277
бпу,0.1277
іґф,0.1277
уґе,0.1277
ґкт,0.1277
едч,0.1277
дчб,0.1277
хук,0.1277
оґт,0.1277
иуе,0.1277
ґчі,0.1277
ціґ,0.1277
ґчм,0.1277
ґцш,0.1277
пдс,0.1277
дґс,0.1170
лґц,0.1170
ґфм,0.1170
лсл,0.1170
оґе,0.1170
цєу,0.1170
лґо,0.1170
ґфд,0.1170
гпм,0.1170
дґг,0.1170
мґц,0.1170
рлю,0.1170
ґґф,0.1170
лєґ,0.1170
ємт,0.1170
мтґ,0.1170
іґє,0.1170
рбп,0.1170
пук,0.1170
укд,0.1170
мґч,0.1170
жух,0.1170
ємґ,0.1064
кдґ,0.1064
лсґ,0.1064
шєд,0.1064
гґґ,0.1064
гпл,0.1064
пло,0.1064
ґцр,0.1064
ґил,0.1064
ґаі,0.1064
лґа,0.1064
ітб,0.1064
тдє,0.1064
чбп,0.1064
іґц,0.1064
ґид,0.1064
мґт,0.1064
цєм,0.1064
тшґ,0.1064
тль,0.1064
ґеу,0.1064
дґґ,0.1064
пмє,0.1064
іґч,0.1064
гґт,0.1064
уґи,0.1064
лґґ,0.1064
ґхм,0.1064
ґкє,0.1064
иуґ,0.1064
уєм,0.0958
иує,0.0958
пуж,0.0958
ґки,0.0958
хуп,0.0958
оґч,0.0958
фми,0.0958
єцм,0.0958
рує,0.0958
ьґц,0.0958
лґг,0.0958
цчл,0.0958
ґтм,0.0958
лґу,0.0958
іґи,0.0958
ґсі,0.0958
дхд,0.0958
ґуе,0.0958
ґйґ,0.0958
ґгґ,0.0958
ґшґ,0.0958
шґф,0.0958
сує,0.0958
ґяу,0.0958
уґґ,0.0958
дґп,0.0958
усґ,0.0958
єґе,0.0958
ухм,0.0958
ґпд,0.0958
ехі,0.0958
кдп,0.0958
шґт,0.0958
лґд,0.0958
мґа,0.0958
юмґ,0.0958
ґуц,0.0851
дґи,0.0851
сґф,0.0851
тлс,0.0851
тгґ,0.0851
лтп,0.0851
ґуч,0.0851
дпл,0.0851
дхл,0.0851
хло,0.0851
єун,0.0851
рлц,0.0851
гґє,0.0851
тлґ,0.0851
лєл,0.0851
ґшц,0.0851
ґхш,0.0851
єдє,0.0851
єґт,0.0851
оґф,0.0851
єлґ,0.0851
дєц,0.0851
