Триграма,Відносна частота (%)
яез,1.3201
яуь,1.3201
яфз,1.3201
фзр,1.3201
зрз,1.3201
рзя,1.3201
жює,0.9901
юєа,0.9901
єаб,0.9901
абя,0.9901
ающ,0.9901
яиз,0.9901
изя,0.9901
щжю,0.6601
бяв,0.6601
явя,0.6601
ялі,0.6601
ліх,0.6601
іхь,0.6601
хьа,0.6601
ьаю,0.6601
аюз,0.6601
юзх,0.6601
зхі,0.6601
хіо,0.6601
іоб,0.6601
обя,0.6601
явщ,0.6601
вще,0.6601
щеі,0.6601
еіу,0.6601
іуї,0.6601
уїб,0.6601
яхщ,0.6601
хщш,0.6601
щша,0.6601
шаю,0.6601
щяи,0.6601
іяу,0.6601
езв,0.6601
звц,0.6601
вцщ,0.6601
цщу,0.6601
уоб,0.6601
юєя,0.6601
зяу,0.6601
зчя,0.6601
уьк,0.6601
лзу,0.6601
їія,0.6601
сщя,0.6601
яаю,0.6601
іяф,0.6601
зяа,0.6601
апі,0.3300
пії,0.3300
іїщ,0.3300
їщя,0.3300
щяе,0.3300
езм,0.3300
їщж,0.3300
вяе,0.3300
езб,0.3300
збу,0.3300
бяш,0.3300
яшя,0.3300
шяа,0.3300
яау,0.3300
ауб,0.3300
убю,0.3300
бюс,0.3300
юсз,0.3300
сзу,0.3300
зуз,0.3300
узл,0.3300
злш,0.3300
лшя,0.3300
шяз,0.3300
язк,0.3300
зкб,0.3300
кбв,0.3300
бвь,0.3300
вья,0.3300
ьяу,0.3300
уьї,0.3300
ьїя,0.3300
їяв,0.3300
їбж,0.3300
бжя,0.3300
жях,0.3300
ющя,0.3300
зяю,0.3300
яющ,0.3300
ющс,0.3300
щсі,0.3300
сія,0.3300
яуц,0.3300
уцг,0.3300
цгщ,0.3300
гщї,0.3300
щїї,0.3300
їїб,0.3300
їбя,0.3300
бяг,0.3300
ягщ,0.3300
гщв,0.3300
щвз,0.3300
взл,0.3300
зля,0.3300
ляв,0.3300
вяу,0.3300
яуі,0.3300
уіа,0.3300
іаі,0.3300
аіо,0.3300
іоз,0.3300
ози,0.3300
зищ,0.3300
ищл,0.3300
щуо,0.3300
обю,0.3300
бює,0.3300
єяф,0.3300
уьм,0.3300
ьмї,0.3300
мїз,0.3300
їзч,0.3300
чяю,0.3300
яюш,0.3300
юшр,0.3300
ящо,0.3300
щоі,0.3300
оія,0.3300
іях,0.3300
аюя,0.3300
юяу,0.3300
ькл,0.3300
клз,0.3300
зуо,0.3300
обж,0.3300
бжю,0.3300
їбґ,0.3300
бґм,0.3300
бяи,0.3300
зяп,0.3300
япі,0.3300
пія,0.3300
іяї,0.3300
яїі,0.3300
оьс,0.3300
ьсш,0.3300
сшж,0.3300
шжя,0.3300
жяф,0.3300
ькя,0.3300
кяд,0.3300
ядш,0.3300
дшг,0.3300
шгц,0.3300
ябс,0.3300
бсщ,0.3300
щяа,0.3300
ющї,0.3300
щїі,0.3300
яаш,0.3300
аше,0.3300
шеш,0.3300
ешю,0.3300
шюї,0.3300
піґ,0.3300
іґя,0.3300
ґяк,0.3300
якз,0.3300
кзя,0.3300
яащ,0.3300
ащл,0.3300
щлз,0.3300
лзч,0.3300
чяа,0.3300
яал,0.3300
алі,0.3300
ліг,0.3300
ігю,0.3300
гюь,0.3300
юья,0.3300
ьяк,0.3300
якш,0.3300
кшт,0.3300
штя,0.3300
тяї,0.3300
яїщ,0.3300
їщл,0.3300
щлщ,0.3300
лщр,0.3300
щрщ,0.3300
рщж,0.3300
бяе,0.3300
яеі,0.3300
еіг,0.3300
ігі,0.3300
гіс,0.3300
ісз,0.3300
сзї,0.3300
зїщ,0.3300
їщю,0.3300
ямз,0.3300
мзо,0.3300
зоз,0.3300
озу,0.3300
зуь,0.3300
уьс,0.3300
ьсщ,0.3300
зяв,0.3300
явл,0.3300
влз,0.3300
лзд,0.3300
зді,0.3300
дія,0.3300
зяе,0.3300
яїш,0.3300
їшк,0.3300
шкє,0.3300
кєр,0.3300
яья,0.3300
ьяа,0.3300
ющу,0.3300
єяш,0.3300
яшл,0.3300
шлз,0.3300
зуш,0.3300
